Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL831,,CN1CCN(CC1)C2=Nc3ccccc3Oc4c2cc(cc4)Cl,LOXAPINE,327.81,7.7,,3.2,2,9
CHEMBL844,,c1cc(c(c2c1nccn2)Br)NC3=NCCN3,BRIMONIDINE,292.13,7.8,,-0.2,2,0.5
CHEMBL46547,,CCOC(=O)c1c2n(cn1)-c3cccc(c3C(=O)N(C2)C)Cl,SARMAZENIL,319.74,2.5,,1.2,2,46.4
CHEMBL48222,,c1ccc(cc1)c2c(nccn2)c3ccccc3,,232.28,,,3.4,3,57.9
CHEMBL294029,,C[C@@H](c1nc(cs1)c2ccc(cc2)C#N)[C@](Cn3cncn3)(c4ccc(cc4F)F)O,RAVUCONAZOLE,437.47,2.3,,3.9,4,13
CHEMBL944,,CCN(CC)CCOC(=O)c1ccc(cc1Cl)N.Cl,CHLOROPROCAINE HYDROCHLORIDE,307.22,8.8,,1.3,1,2.4
CHEMBL61946,,CCN(CC)CCOC(=O)C1(CCCC1)c2ccccc2,CARAMIPHEN,289.41,8.6,,2.4,1,31
CHEMBL57895,,CCC1(Cc2ccccc2O1)C3=NCCN3,EFAROXAN,216.28,11.4,,-0.8,1,82.2
CHEMBL303062,,C1CCN2[C@H](C1)[C@]34C[C@H]2C=CC3=CC(=O)O4,SECURININE,217.26,7,,1,0,67
CHEMBL967,,CN1c2ccc(cc2C(=NC(C1=O)O)c3ccccc3)Cl,TEMAZEPAM,300.74,,10.6,2.2,2,70.8
CHEMBL418134,,CC(C)(C)NCC(COc1ccccc1C#N)O,BUNITROLOL,248.32,9.3,,-0.2,1,37.7
CHEMBL67096,,Cc1cccc(c1)OCC(CNC(C)C)O,TOLIPROLOL,223.31,9.3,,0.1,1,49.3
CHEMBL307202,,CC(C)c1nc(no1)c2c3n(cn2)-c4cccc(c4C(=O)N(C3)C)Cl,,357.79,2.5,,2.1,3,48
CHEMBL86304,,c1cc(ccc1C(=O)NCCN2CCOCC2)Cl,MOCLOBEMIDE,268.74,6.6,,1.5,1,12.2
CHEMBL554030,,c1ccc2c(c1)[nH]c(=O)c3n2ccn3,,185.18,5.5,7.5,1.1,3,8.6
CHEMBL90125,,CN(C)CC/C=C/1\c2ccccc2Sc3c1cc(cc3)Cl,,315.86,8.8,,3.7,2,0.6
CHEMBL89928,,c1ccnc(c1)c2ccnc(n2)Nc3cccc(c3)n4ccnc4,,314.34,6.5,,3.6,4,0.1
CHEMBL1092,,c1ccc(cc1)C(CCN2CCCCC2)(C3CCCCC3)O.Cl,TRIHEXYPHENIDYL HYDROCHLORIDE,337.93,9.5,,2.7,1,53.8
CHEMBL1101,,c1ccc(cc1)C(CCN2CCCCC2)(C3CC4CC3C=C4)O,BIPERIDEN,311.46,9.4,,2.2,1,48.2
CHEMBL1106,,c1ccc2c(c1)Cc3ccccc3N4C2CN=C4N,EPINASTINE,249.31,9.8,,-0.2,2,5.7
CHEMBL98123,,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC.Cl,PAPAVERINE HYDROCHLORIDE,375.85,5.5,,2.9,3,0.4
CHEMBL93240,,CN1CCN(CC1)C2Cc3ccccc3Sc4c2cc(cc4)SC,METITEPINE,356.55,8.2,,3.1,2,0.5
CHEMBL1113,,c1ccc2c(c1)N=C(c3cc(ccc3O2)Cl)N4CCNCC4,AMOXAPINE,313.78,8.7,,2,2,7.9
CHEMBL330366,,COc1cc(cc(c1OC)OC)C(=O)N2CC[C@](C2)(CCN3CCC(CC3)(c4ccccc4)C(=O)N)c5ccc(c(c5)Cl)Cl,,640.6,9,,2.6,3,1.8
CHEMBL97170,,c1cc(ccc1C(=O)CCC(=O)N2CCN(CC2)C3CCCC3)Cl,,348.87,7.6,,2.7,1,1.8
CHEMBL95692,,COc1nccc(n1)c2c(ncn2C3CCNCC3)c4ccc(cc4)F,SB-242235,353.39,9.3,,1,3,8
CHEMBL1148,,Cc1cccc(c1)Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C,TORSEMIDE,348.42,2.7,6.9,0.6,2,88.3
CHEMBL324594,,Cc1c2c(ccn1)c3ccc(cc3[nH]2)OC(=O)C,,240.26,7.6,,2.2,3,0.2
CHEMBL119135,,Cc1ccc2c(c1)c-3c(c4ccccc4n(c3n2)C)C,,260.33,7.6,,3.4,4,0.2
CHEMBL119489,,CN(C)c1cccc2c1cccc2S(=O)(=O)N,,250.32,5.3,9.7,2,2,60.5
CHEMBL411528,,COc1ccc-2c(c1)Cc3c2nc(c(c3c4ccc(cc4Cl)Cl)CN)N,,386.27,8.2,,3.4,3,65.4
CHEMBL414242,,c1ccc2c(c1)ccc(n2)/C=C/c3cccc(c3)O,,247.29,5.5,7,3,3,0.7
CHEMBL340211,,c1ccnc(c1)N2CCN(CC2)CCCC(=O)c3ccc(cc3)F,AZAPERONE,327.4,7.1,,2.9,2,0.8
CHEMBL129542,,c1cc(ccc1CN2CCCCC2)OCCCN3CCCCC3,JNJ-5207852,316.48,9.6,,0.1,1,0.5
CHEMBL130104,,CCn1c(=O)c2ccccc2c(n1)n3ccnc3,,240.26,7.6,,1.1,2,52.1
CHEMBL335917,,COc1ccc(cc1OC)c2c3ccccc3c(=O)n(n2)CCn4ccnc4,,376.41,9.8,,1.3,3,1.9
CHEMBL1218,,CCC(=O)NCC[C@@H]1CCc2c1c3c(cc2)OCC3,RAMELTEON,259.34,,11.6,2.4,1,67.4
CHEMBL337815,,Cc1nc2cc([nH]c2c(n1)NCCN3CCOCC3)c4ccccc4,,337.42,7.5,11.1,1.9,3,0.2
CHEMBL137259,,Cc1nc2cc([nH]c2c(n1)N3CCCCCC3)c4ccccc4,,306.4,6.9,11.8,3.5,3,0.1
CHEMBL136298,,CC(=O)NCC1(CCN(CC1)CCCC(=O)c2ccc(cc2)F)c3ccccc3,ACEPERONE,396.5,9.1,,1.3,2,2.6
CHEMBL343793,,c1ccc(cc1)CN2CCC3(CC2)c4ccccc4C(=O)O3,,293.36,7.9,,2.7,2,7.7
CHEMBL145058,,Cc1cnc2n1c3ccccc3nc2NC4CCCC4,,266.34,6.8,,3.3,3,4.1
CHEMBL151445,,c1ccc(cc1)N2CCN(CC2)CC(CO)O,DROPROPIZINE,236.31,7.1,,0.8,1,34.8
CHEMBL150912,,c1ccc(cc1)n2c3ccccc3[nH]c2=O,,210.23,,9.9,2.8,2,47.4
CHEMBL358879,,COc1cc(cc(c1OC)OC)Cc2c(nc(nc2N)N)c3ccccc3,,366.41,7,,2.5,3,6.1
CHEMBL152067,,CC(C)(C)NCC(COc1ccc(cc1)NC(=O)NC2CCCCC2)O,TALINOLOL,363.49,9.3,,0.5,1,18.1
CHEMBL358150,,CC(C)(C(=O)OCCOC(=O)c1cccnc1)Oc2ccc(cc2)Cl,ETOFIBRATE,363.79,3.3,,3.2,2,37.2
CHEMBL1305,,c1ccc(cc1)CN(CC2=NCCN2)c3ccccc3,ANTAZOLINE,265.35,9.6,,0.6,2,17
CHEMBL162050,,c1ccc2c(c1)c(c[nH]2)C(CC(=O)O)CN,,218.25,9.9,4,-0.7,2,77.5
CHEMBL162522,,c1ccc(cc1)CN2CCN(CC2)Cc3ccccc3,,266.38,7.6,,2.6,2,17
CHEMBL368344,,CC(C)c1[nH]c2ccccc2n1,,160.22,6,,2.6,2,35.5
CHEMBL352308,,CC(C)(C)c1ccc(cc1)Nc2ccc(cc2)Oc3ccnc4c3cc(c(c4)OCCNCCO)OC,,501.62,8.5,,3.3,4,1
CHEMBL170797,,CCOC(=O)C1(CCCN(CC1)C)c2ccccc2,ETHOHEPTAZINE,261.36,8.9,,1.6,1,53.6
CHEMBL436281,,c1ccc(cc1)C2c3ccccc3C4(O2)CCNCC4,,265.35,10,,0.8,2,18.5
CHEMBL362628,,CN(C)CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c3c(nc4n3ccs4)Cl,,423.94,9.2,6.6,1.6,4,2.4
CHEMBL365294,,CCN([C@H]1CC[C@@H](CC1)NC(=O)c2c(noc2CCc3cc4c(cc3)OCO4)c5c(cccc5Cl)Cl)CC,,558.5,9.8,,2.1,3,5.8
CHEMBL188185,,CCCC(=O)N1CCCN(CC1)c2nc3cc(c(cc3c(n2)N)OC)OC,BUNAZOSIN,373.45,6.7,,1.6,2,0.2
CHEMBL363211,,Cc1cc(no1)c2nncc3n2nc(c3C(C)(C)C)OCc4ncnn4C,,368.39,,,1.8,4,41.9
CHEMBL190259,,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,,374.47,,,2,0,53.8
CHEMBL370779,,c1ccc(cc1)S(=O)(=O)n2ccc3c2cccc3N4CCNCC4,,341.43,8.8,,2,3,1.3
CHEMBL198059,,Cc1ccc(c2c1CCC2)OC[C@@H]([C@H](C)NC(C)C)O,,277.4,9.3,,1,1,12
CHEMBL201896,,c1cc(ccc1CCN)Oc2ccc(cc2)O,THYRONAMINE,229.27,9.6,10.2,0.5,2,24.4
CHEMBL381131,,c1ccc2c(c1)c(c[nH]2)C(=O)C(=O)NCc3ccncc3,,279.29,4.8,,1.8,3,1.4
CHEMBL217269,,CN(C)Cc1ccc2cc(ccc2n1)n3cnc4cc(sc4c3=O)c5ccc(cc5)Cl,,446.95,8,,3.3,4,0.1
CHEMBL384467,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,DEXAMETHASONE,392.46,,,1.9,0,62.7
CHEMBL375530,,c1c2c(cc(c1Cl)Cl)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,DICHLORORIBOBENZIMIDAZOLE,319.14,3.9,11.1,1.3,2,34
CHEMBL389433,,c1cc(cc(c1)Cl)C(c2ccc3c(c2)nc[nH]3)n4ccnc4,LIAROZOLE,308.76,6.2,11.5,3.4,4,7
CHEMBL229288,,c1cc(ccc1O)Oc2ccc(cc2I)CCN.Cl,,391.63,9.5,10,1.1,2,24.5
CHEMBL1453,,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O,DIGITOXIGENIN,374.51,,,2.4,0,70.5
CHEMBL231530,,CC1=CN=C2N1C3=CC4=CC=CC=C4C=C3N=C2NC,,262.31,5.6,,3,4,1
CHEMBL396778,,C[C@@H](C(=O)N)NCc1ccc(cc1)OCc2cccc(c2)F,SAFINAMIDE,302.34,7.2,,2.1,2,2.4
CHEMBL244440,,c1cc(sc1)c2cnc(s2)N,,182.27,3.6,,2.2,2,22.3
CHEMBL391950,,COc1ccc(cc1OC)CN2CCC(CC2)Nc3nc4ccccc4s3,,383.51,8.2,,2.7,3,0.3
CHEMBL238056,,CCOc1cc(ccc1O)CN2CCC(CC2)Nc3nc4ccccc4s3,,383.51,8.1,9.9,2.8,3,1.9
CHEMBL404216,,CCC1c2cc(c(cc2C(=NN=C1C)c3ccc(c(c3)OC)OC)OC)OC,TOFISOPAM,382.45,9.8,,2.2,2,68.3
CHEMBL251642,,CCc1cccc2c1oc(c2)[C@@H](CNC(C)(C)C)O,(R)-BUFURALOL,261.36,8.7,,1.7,2,26.4
CHEMBL249856,,Cc1c([nH]c(=O)[nH]1)C(=O)c2ccc(cc2)SC,ENOXIMONE,248.3,,11.1,1.9,1,27.2
CHEMBL404881,,COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3F)NC(=S)NC(=O)Cc4ccccc4,,491.53,6.9,6.3,2.6,4,0.1
CHEMBL411686,,c1cc2c(cc(nc2c(c1)C(F)(F)F)C(F)(F)F)[C@H]([C@H]3CCCCN3)O,"(R,R)-MEFLOQUINE",378.31,8.7,,2.7,2,22.5
CHEMBL258893,,C[n+]1cc2c(ccc(c2OC)OC)c3c1c4cc5c(cc4cc3)OCO5.[Cl-],CHELERYTHRINE CHLORIDE,383.82,,,0.7,4,0.2
CHEMBL260829,,Cc1cccc(c1NC(=O)CN2CCCC2=O)C,NEFIRACETAM,246.3,,,1.2,1,94.6
CHEMBL259060,,COC(=O)c1c(c2cc(ccc2c(=O)n1Cc3ccc(cc3)S(=O)(=O)C)Br)c4ccccc4,,526.4,,,3.7,3,9
CHEMBL514315,,CSCC1CN(C(=O)O1)/N=C/c2ccc(o2)[N+](=O)[O-],NIFURATEL,285.28,,,2.2,1,22.7
CHEMBL475534,,CCOC(=O)C1=C(NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C)C,NITRENDIPINE,360.36,3,,3,1,48.7
CHEMBL517140,,CNC(=O)c1ccc(nc1)Oc2ccc3c(c2)CCN(CC3)C4CCC4,GSK189254,351.44,8.5,11.3,1.5,2,1.5
CHEMBL490672,,CCc1cc(cc(n1)CC)CC[C@@]2(CC(=C(C(=O)O2)Cc3nc4nc(cc(n4n3)C)C)O)C5CCCC5,FILIBUVIR,503.64,7.6,5.9,2.5,3,18.9
CHEMBL454950,,C[C@]1(c2cccc(c2C(=O)C3=C([C@]4([C@@H](C[C@@H]31)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)O)O.Cl,TETRACYCLINE HYDROCHLORIDE,480.9,9.4,3.3,-1,1,5.4
CHEMBL465477,,C[C@]12c3ccccc3C[C@H](N1)c4c2cccc4.C(=C\C(=O)O)\C(=O)O,,337.37,8.6,,1.9,2,44.9
CHEMBL1620,,CN(C)CCOC(c1ccccc1)c2ccccc2.Cl,DIPHENHYDRAMINE HYDROCHLORIDE,291.82,8.5,,2.2,2,72.9
CHEMBL1633,,CN1CCC(=C2c3ccccc3CC(=O)c4c2ccs4)CC1.C(=C/C(=O)O)\C(=O)O,KETOTIFEN FUMARATE,425.5,9,,2.3,2,9.4
CHEMBL1642,,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C.CS(=O)(=O)O,IMATINIB MESYLATE,589.71,8.4,,2.2,4,0.4
CHEMBL478629,,c1cc(ccc1c2cnc3c(cnn3c2)c4ccncc4)OCCN5CCCCC5,DORSOMORPHIN,399.49,8.7,,2.5,4,0.2
CHEMBL1653,,CN(C)CCC(c1ccccc1)c2ccccn2.C(=C\C(=O)O)\C(=O)O,PHENIRAMINE MALEATE,356.42,9.1,,0.7,2,42.9
CHEMBL521582,,CCCN(CCC)CCc1ccc(c(c1)OCCc2ccccc2)OC.Cl,,391.97,9.4,,3,2,3.3
CHEMBL444981,,CCc1c(c2c3c(c(ncn3)N)sc2nc1C)C,,258.34,4.1,,3.3,3,0.6
CHEMBL503237,,CN1C2CCC1CC(C2)OC3c4ccccc4CCc5c3cccc5,,333.47,9.8,,2.4,2,7.8
CHEMBL1677,,c1ccc2c(c1)c(c3c(n2)CCCC3)N.Cl,TACRINE HYDROCHLORIDE,234.72,9.7,,0.5,2,0.2
CHEMBL531742,,CCc1ccc(cc1)OCc2ccccc2C(=O)Nc3ccc4c(c3)c(cc(n4)C)N.Cl,,447.96,9.1,,3,4,0.6
CHEMBL544665,,CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N.Cl,FINGOLIMOD HYDROCHLORIDE,343.93,8.5,,2.1,1,2.8
CHEMBL1692,,CN(C)CCCN1c2ccccc2CCc3c1cccc3.Cl,IMIPRAMINE HYDROCHLORIDE,316.87,9.1,,2.5,2,9.2
CHEMBL544784,,c1cc2c3c(c1)c(=O)n(cc3CCC2)[C@@H]4CN5CCC4CC5.Cl,,330.85,7.2,,2.4,1,0.6
CHEMBL543869,,CCOC(=O)Nc1ccc(nc1N)NCc2ccc(cc2)F.Cl,,340.78,6.4,11.6,2.6,2,0.3
CHEMBL553725,,c1ccc2c(c1)cc(o2)C3=NCCN3.Cl,,222.67,8,,0.5,2,1
CHEMBL543467,,c1ccc2c(c1)OCC(O2)C3=NCCN3.Cl,IDAZOXAN HYDROCHLORIDE,240.69,8.4,,-0.1,1,32.8
CHEMBL560563,,Cc1cc(nn1CC(=O)NCCN(C)C)c2ccc(c(c2)C(=O)NCC3(CCCCCC3)O)Cl,,490.04,8.2,11.9,2.1,2,1.7
CHEMBL564660,,c1ccc(cc1)c2nc3ccccc3c(n2)Nc4ccncc4,,298.34,8,,3.3,4,0.4
CHEMBL550011,,CN(C)CCN(Cc1ccc(cc1)Cl)c2ccccn2.Cl,CHLORPYRAMIN HYDROCHLORIDE,326.26,7.8,,2.3,2,3.4
CHEMBL551767,,c1cc(c(cc1Cl)Cl)CCC(=O)Nc2c3ccc(nc3ccc2Cl)N4CCNCC4,,463.79,8.7,11.9,3,3,0.2
CHEMBL558752,,Cn1c2ccc(cc2nc1Nc3ccc(cc3)C(F)(F)F)Oc4ccnc(c4)c5[nH]c(cn5)C(F)(F)F,CHIR-265,518.41,5.5,9.7,4,5,1
CHEMBL600132,,CC1(Cc2cc(c(cc2C3=NNC(=O)C3=N1)OC)OC)C,,287.31,6,6.8,1.2,1,30.2
CHEMBL609461,,CC1CC(=CCC1CNCCCN(C)C)CCC=C(C)C,,292.5,10.4,,1.8,0,0.3
CHEMBL1766,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C,DESOXIMETASONE,376.46,,,2.3,0,40.4
CHEMBL1164033,,CN(C)CCOc1cc(ccc1Cl)NS(=O)(=O)c2c(cc(cc2Cl)C(F)(F)F)Cl,SB611812,491.74,8.2,6.3,2.9,2,4.9
CHEMBL1189513,,c1cc(oc1/C=N/N2CC(OC2=O)CN3CCOCC3)[N+](=O)[O-],FURALTADONE,324.29,6.8,,0.6,1,13.6
CHEMBL1194666,,CCN(CC)C(C)C(=O)c1ccccc1,DIETHYLPROPION,205.3,8.4,,1.5,1,95.5
CHEMBL1200323,,CC(CCc1ccccc1)NCC(c2ccc(c(c2)C(=O)N)O)O.Cl,LABETALOL HYDROCHLORIDE,364.87,8.4,9,0.9,2,6.7
CHEMBL1200396,,CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C.Cl,BUPIVACAINE HYDROCHLORIDE,324.89,7.8,,2.5,1,55.8
CHEMBL1200406,,Cn1c2c(c(=O)n(c1=O)C)[nH]c(n2)Cl.CN(C)CCOC(c1ccccc1)c2ccccc2,DIMENHYDRINATE,469.96,8.5,,2.2,2,38.6
CHEMBL1200454,,CC(C)[C@@H](C(=O)OCC(CO)OCn1cnc2c1nc([nH]c2=O)N)N.Cl,VALGANCICLOVIR HYDROCHLORIDE,390.82,7.8,9.1,-0.1,1,7
CHEMBL1200473,,CN(C)CCOC(=O)C(c1ccccc1)C2(CCCC2)O.Cl,CYCLOPENTOLATE HYDROCHLORIDE,327.85,8.3,,1.5,1,82.4
CHEMBL1200587,,CN1CCN(CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl.C(=C\C(=O)O)\C(=O)O,PROCHLORPERAZINE MALEATE,490.01,8.6,,3.3,2,0.3
CHEMBL1200617,,CCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C)C,RIMEXOLONE,370.52,,,3.4,0,41
CHEMBL1200654,,CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC.Cl,BENOXINATE HYDROCHLORIDE,344.88,8.8,,2.2,1,1
CHEMBL1200708,,CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O.C(=C/C(=O)O)\C(=O)O,BISOPROLOL FUMARATE,441.52,9.3,,0.3,1,46.8
CHEMBL1200710,,CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl.Cl,CLOMIPRAMINE HYDROCHLORIDE,351.31,9.1,,3.2,2,4.7
CHEMBL1200714,,CN1C(S(=O)(=O)CCC1=O)c2ccc(cc2)Cl,CHLORMEZANONE,273.74,,,1.2,1,86.3
CHEMBL1200750,,CC(CN1c2ccccc2Sc3c1cccc3)N(C)C.Cl,PROMETHAZINE HYDROCHLORIDE,320.88,9,,2.9,2,3.4
CHEMBL1200798,,c1ccn2c(c1)nn(c2=O)CCCN3CCN(CC3)c4cccc(c4)Cl.Cl,TRAZODONE HYDROCHLORIDE,408.32,6.9,,2.8,1,1.7
CHEMBL1200809,,CN1CCCC(CC1)n2c(=O)c3ccccc3c(n2)Cc4ccc(cc4)Cl.Cl,AZELASTINE HYDROCHLORIDE,418.36,9.2,,2.5,2,0.3
CHEMBL1200870,,CC(C)(C)NC[C@@H](COc1c(nsn1)N2CCOCC2)O.C(=C\C(=O)O)\C(=O)O,TIMOLOL MALEATE,432.49,9.3,,-0.4,1,33.9
CHEMBL1200875,,Cc1c(=O)c2cccc(c2oc1c3ccccc3)C(=O)OCCN4CCCCC4.Cl,FLAVOXATE HYDROCHLORIDE,427.92,8.3,,3.3,2,1
CHEMBL1200906,,CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)(C2CCCCC2)O.[Br-],OXYPHENONIUM BROMIDE,428.4,,,0.8,1,64
CHEMBL1200911,,c1ccc2c(c1)C(=Nc3ccccc3S2)N4CCN(CC4)CCOCCO.C(=C/C(=O)O)\C(=O)O,QUETIAPINE FUMARATE,499.58,7,,2.5,2,14.8
CHEMBL1200916,,CN1CCCCC1CCN2c3ccccc3Sc4c2cc(cc4)SC.Cl,THIORIDAZINE HYDROCHLORIDE,407.04,9.2,,3.2,2,0.2
CHEMBL1200970,,CCN(CC)C(C)CN1c2ccccc2Sc3c1cccc3.Cl,ETHOPROPAZINE HYDROCHLORIDE,348.93,9.3,,3,2,4.8
CHEMBL1201044,,Cc1ccccc1N2CCN(CC2)CCc3nnc4n3CCCC4.Cl,DAPIPRAZOLE HYDROCHLORIDE,361.91,7.8,,1.9,2,5
CHEMBL1201063,,CCCNCC(COc1ccccc1C(=O)CCc2ccccc2)O.Cl,PROPAFENONE HYDROCHLORIDE,377.9,9.1,,1.3,2,1.7
CHEMBL1201068,,CCC(=O)c1ccc2c(c1)N(c3ccccc3S2)CC(C)N(C)C.Cl,PROPIOMAZINE HYDROCHLORIDE,376.94,9,,2.5,2,0.6
CHEMBL1201150,,CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CCN(C)C.C(CC(=O)O)C(=O)O,SUMATRIPTAN SUCCINATE,413.49,9.2,10.3,-0.4,2,7.5
CHEMBL1201759,,c1ccc(cc1)S(=O)(=O)O.c1ccnc(c1)[C@H](c2ccc(cc2)Cl)OC3CCN(CC3)CCCC(=O)O,BEPOTASTINE BESYLATE,547.06,8.8,3.4,0.9,2,65.1
CHEMBL1204146,,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(c3)O.Cl,PHENTOLAMINE HYDROCHLORIDE,317.81,7.6,10,2.1,2,8.2
CHEMBL1208829,,CC(C)(C)c1cc(c(c(c1)NS(=O)(=O)C)OC)NC(=O)C(=O)c2ccc(c3c2cccc3)OCCN4CCOCC4,,583.7,6.7,9.6,3.1,3,0.6
CHEMBL1213136,,CC[C@H]1[C@H](COC1=O)Cc2cncn2C.N(=O)(=O)O,PILOCARPINE NITRATE,271.27,6.9,,0.6,1,54.2
CHEMBL1213263,,CN(C)c1nc2ccc(cc2s1)N,,193.27,3.6,,2.1,2,0.2
CHEMBL1232783,,Cc1c(c(no1)c2ccccc2)c3ccnc(n3)N,,252.27,3.9,,2.2,3,54.7
CHEMBL1233973,,CCCCCCCCCCCC[N+](C)(C)[O-],,229.4,5,,2.6,0,55.2
CHEMBL1255654,,CCCCNc1ccc(cc1)C(=O)OCCN(C)C.Cl,TETRACAINE HYDROCHLORIDE,300.82,8.6,,2,1,2
CHEMBL1256192,,c1ccc2c(c1)cccc2N3CCNCC3.Cl,,248.75,8.9,,1.2,2,1.7
CHEMBL1256645,,CN1CCc2cc(c(cc2[C@H](C1)c3ccccc3)O)Cl.Cl,,324.24,8.4,9,2.5,2,5
CHEMBL1256702,,c1c([nH]cn1)C2CCN(CC2)C(=S)NC3CCCCC3.C(=C\C(=O)O)\C(=O)O,THIOPERAMIDE MALEATE,408.52,6.5,,2.3,1,4.6
CHEMBL1256794,,c1ccc2c(c1)ccc(n2)N3CCNCC3.C(=C\C(=O)O)\C(=O)O,QUIPAZINE MALEATE,329.35,8.7,,0.8,2,0.6
CHEMBL1256875,,c1ccc(cc1)N2CNC(=O)C23CCN(CC3)CCCC(=O)c4ccc(cc4)F.Cl,SPIPERONE HYDROCHLORIDE,431.93,7.9,,2.4,2,0.2
CHEMBL1257066,,c1ccc2c(c1)C=Cc3ccccc3N2CCCN4CCN(CC4)CCO.Cl,OPIPRAMOL HYDROCHLORIDE,399.96,8.1,,2.5,2,4
CHEMBL1257069,,COc1ccccc1N2CCN(CC2)CC(COc3cccc4c3cccc4)O.Cl,NAFTOPIDIL DIHYDROCHLORIDE,428.95,7.1,,3.2,3,0.3
CHEMBL1257094,,CCCCCC[C@@H]([C@@H](C)O)n1cnc2c1ncnc2N.Cl,,313.83,4,,2.4,2,88.1
CHEMBL1276275,,CC(=O)NCCN1CCCc2c1cc(cc2)CO[C@H]3CNCC[C@@H]3c4ccc(cc4)OCCCOCc5ccccc5OC,,601.78,9.4,,2.9,3,0.1
CHEMBL1289779,,CCc1cc2c(s1)-n3c(nnc3CN=C2c4ccccc4Cl)C,ETIZOLAM,342.85,6.6,,2.5,3,79.9
CHEMBL1302518,,c1ccc(c(c1)c2nnn(n2)Cc3nc(nc(n3)N4CCOCC4)N)Cl,,373.8,4.5,,1.8,3,20.9
CHEMBL1303061,,COc1ccc(cc1)c2cc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)[N+](=O)[O-],,392.45,8.9,,2.7,3,0.2
CHEMBL1305863,,Cc1ccc(cc1)CNC(=O)c2cccc(c2)n3cnnn3,,293.32,,11.4,2.2,3,21.8
CHEMBL1309656,,c1ccnc(c1)c2[nH]nc(n2)COc3ccc(cc3)Cl,,286.72,4.5,9,3,3,3.9
CHEMBL1312110,,CCCc1c2c(c3c(n[nH]c3n1)N)CC(OC2)(C)C,,260.33,9.9,,0.8,2,23.1
CHEMBL1313657,,c1cc(c(c(c1)Cl)C=NNC(=N)N)Cl,,231.08,7.8,,1.2,1,11.4
CHEMBL1324714,,CN1CCN(CC1)C(c2ccccc2)c3ccccc3.Cl,CYCLIZINE HYDROCHLORIDE,302.84,8.2,,2.3,2,28
CHEMBL1329801,,c1cc(oc1)c2c3c(nc4c2c(c(s4)C(=O)N)N)CCC3,,299.35,7.5,,2.3,3,0.8
CHEMBL1330729,,CC(C)(C)NCC(c1cc(c(c(c1)Cl)N)Cl)O.Cl,CLENBUTEROL HYDROCHLORIDE,313.65,9.1,,1.2,1,40.6
CHEMBL1338529,,C=CCn1c(n[nH]c1=S)c2ccncc2,,218.28,3.6,7.8,1.4,1,14.9
CHEMBL1338909,,COC1=CC(=O)OC(C1)CCc2ccccc2,,232.28,,,1.9,1,69.1
CHEMBL1339015,,CN1CCc2cc(c(cc2C(=O)Cc3ccc4c(c3C1)OCO4)OC)OC,,369.41,7.6,,2.3,2,3
CHEMBL1339186,,Cc1c2c(n3c(n1)c(cn3)C#N)N(NCC2)C,,228.25,7.6,,0.4,2,16.9
CHEMBL1342914,,COc1ccc(cc1)c2c(c[nH]n2)CN3CCN(CC3)c4ccc(cc4)F,,366.43,7.3,,3,3,1.5
CHEMBL1350935,,COc1ccc(cc1)n2c(=O)c(c[nH]c2=O)C(=O)Nc3ccc4c(c3)OCCO4,,395.37,,9.3,1.9,2,9.6
CHEMBL1353754,,CC(=O)c1ccc2cccc3c2c1N=CN3C,,224.26,6.4,,2.4,2,0.4
